,0,tags_normal,descr_normal,final-1_tag_normal,inverted,tags_inverted,descr_inverted,first_tag_inverted
0,Only Leslie sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Leslie] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Leslie sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Leslie] [V: sleeps] .",ARGM-LOC
1,Only Ben sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Ben] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Ben sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Ben] [V: sleeps] .",ARGM-LOC
2,Only Lucy sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Lucy] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Lucy sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Lucy] [V: sleeps] .",ARGM-LOC
3,Only Jim sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Jim] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Jim sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARG0: only Jim] [V: sleeps] .",ARGM-LOC
4,Only Joseph sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Joseph] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Joseph sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Joseph] [V: sleeps] .",ARGM-LOC
5,Only Laura sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Laura] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Laura sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Laura] [V: sleeps] .",ARGM-LOC
6,Only Adam sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Adam] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Adam sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Adam] [V: sleeps] .",ARGM-LOC
7,Only Martin sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Martin] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Martin sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Martin] [V: sleeps] .",ARGM-LOC
8,Only Matt sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Matt] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Matt sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Matt] [V: sleeps] .",ARGM-LOC
9,Only Julia sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Julia] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Julia sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Julia] [V: sleeps] .",ARGM-LOC
10,Only Carol sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Carol] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Carol sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Carol] [V: sleeps] .",ARGM-LOC
11,Only Arthur sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Arthur] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Arthur sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Arthur] [V: sleeps] .",ARGM-LOC
12,Only Florence sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Florence] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Florence sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Florence] [V: sleeps] .",ARGM-LOC
13,Only Eric sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Eric] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Eric sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADJ', 'B-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARGM-ADJ: only] [ARG0: Eric] [V: sleeps] .",ARGM-LOC
14,Only Bruce sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Bruce] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Bruce sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Bruce] [V: sleeps] .",ARGM-LOC
15,Only Rachel sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Rachel] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Rachel sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Rachel] [V: sleeps] .",ARGM-LOC
16,Only Chris sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Chris] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Chris sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARG0: only Chris] [V: sleeps] .",ARGM-LOC
17,Only Carol sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Carol] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Carol sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARG0: only Carol] [V: sleeps] .",ARGM-LOC
18,Only Richard sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Richard] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Richard sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Richard] [V: sleeps] .",ARGM-LOC
19,Only Anthony sleeps in that park.,"['O', 'B-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",Only [ARG0: Anthony] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Anthony sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADV', 'B-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARGM-ADV: only] [ARG0: Anthony] [V: sleeps] .",ARGM-LOC
20,Only Marilyn sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Marilyn] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Marilyn sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Marilyn] [V: sleeps] .",ARGM-LOC
21,Only Elizabeth sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Elizabeth] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Elizabeth sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADJ', 'B-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARGM-ADJ: only] [ARG0: Elizabeth] [V: sleeps] .",ARGM-LOC
22,Only Anna sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Anna] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Anna sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Anna] [V: sleeps] .",ARGM-LOC
23,Only Joseph sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Joseph] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Joseph sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Joseph] [V: sleeps] .",ARGM-LOC
24,Only Kenneth sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Kenneth] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Kenneth sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADJ', 'B-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARGM-ADJ: only] [ARG0: Kenneth] [V: sleeps] .",ARGM-LOC
25,Only Jerry sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Jerry] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Jerry sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADV', 'B-ARGM-EXT', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARGM-ADV: only] [ARGM-EXT: Jerry] [V: sleeps] .",ARGM-LOC
26,Only Ray sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Ray] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Ray sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Ray] [V: sleeps] .",ARGM-LOC
27,Only Dick sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Dick] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Dick sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Dick] [V: sleeps] .",ARGM-LOC
28,Only Sophie sleeps in that park.,"['O', 'B-ARGM-MNR', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",Only [ARGM-MNR: Sophie] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Sophie sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADV', 'B-ARGM-MNR', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARGM-ADV: only] [ARGM-MNR: Sophie] [V: sleeps] .",ARGM-LOC
29,Only Steven sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Steven] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Steven sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Steven] [V: sleeps] .",ARGM-LOC
30,Only Dan sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Dan] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Dan sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Dan] [V: sleeps] .",ARGM-LOC
31,Only Hugh sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Hugh] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Hugh sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Hugh] [V: sleeps] .",ARGM-LOC
32,Only Martin sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Martin] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Martin sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Martin] [V: sleeps] .",ARGM-LOC
33,Only Charlotte sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Charlotte] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Charlotte sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Charlotte] [V: sleeps] .",ARGM-LOC
34,Only Johnny sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Johnny] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Johnny sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Johnny] [V: sleeps] .",ARGM-LOC
35,Only Benjamin sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Benjamin] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Benjamin sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Benjamin] [V: sleeps] .",ARGM-LOC
36,Only Christine sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Christine] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Christine sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Christine] [V: sleeps] .",ARGM-LOC
37,Only Roger sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Roger] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Roger sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Roger] [V: sleeps] .",ARGM-LOC
38,Only Adam sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Adam] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Adam sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Adam] [V: sleeps] .",ARGM-LOC
39,Only Joe sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Joe] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Joe sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Joe] [V: sleeps] .",ARGM-LOC
40,Only Simon sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Simon] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Simon sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Simon] [V: sleeps] .",ARGM-LOC
41,Only Jimmy sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Jimmy] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Jimmy sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Jimmy] [V: sleeps] .",ARGM-LOC
42,Only Larry sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Larry] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Larry sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Larry] [V: sleeps] .",ARGM-LOC
43,Only Daniel sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Daniel] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Daniel sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Daniel] [V: sleeps] .",ARGM-LOC
44,Only Ian sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Ian] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Ian sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Ian] [V: sleeps] .",ARGM-LOC
45,Only Kenneth sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Kenneth] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Kenneth sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADJ', 'B-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARGM-ADJ: only] [ARG0: Kenneth] [V: sleeps] .",ARGM-LOC
46,Only Annie sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Annie] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Annie sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Annie] [V: sleeps] .",ARGM-LOC
47,Only Joseph sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Joseph] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Joseph sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARG0: only Joseph] [V: sleeps] .",ARGM-LOC
48,Only Eric sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Eric] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Eric sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADJ', 'B-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARGM-ADJ: only] [ARG0: Eric] [V: sleeps] .",ARGM-LOC
