,original,switched,tags_original,descr_original,tags_switched,descr_switched,final-1_arg_original,first_arg_switch,orginal_switched_match
0,I will eat that feijoa.,"That feijoa, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that feijoa] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That feijoa] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
1,I will eat that lanseh.,"That lanseh, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that lanseh] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That lanseh] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
2,I will eat that delicatessen.,"That delicatessen, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that delicatessen] .,"['O', 'O', 'O', 'O', 'B-V', 'O', 'O']","That delicatessen , I [V: will] eat .",ARG1,O,False
3,I will eat that turnip.,"That turnip, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that turnip] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That turnip] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
4,I will eat that jack.,"That jack, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that jack] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARGM-DIS: That jack] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARGM-DIS,False
5,I will eat that cappelletti.,"That cappelletti, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that cappelletti] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That cappelletti] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
6,I will eat that bean.,"That bean, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that bean] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARGM-DIS: That bean] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARGM-DIS,False
7,I will eat that tunny.,"That tunny, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that tunny] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That tunny] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
8,I will eat that mulberry.,"That mulberry, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that mulberry] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That mulberry] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
9,I will eat that twinkie.,"That twinkie, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that twinkie] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That twinkie] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
10,I will eat that seckel.,"That seckel, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that seckel] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That seckel] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
11,I will eat that giblet.,"That giblet, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that giblet] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That giblet] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
12,I will eat that toast.,"That toast, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that toast] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That toast] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
13,I will eat that mango.,"That mango, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that mango] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That mango] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
14,I will eat that mackerel.,"That mackerel, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that mackerel] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That mackerel] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
15,I will eat that murphy.,"That murphy, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that murphy] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARGM-DIS: That murphy] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARGM-DIS,False
16,I will eat that ribier.,"That ribier, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that ribier] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That ribier] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
17,I will eat that octopus.,"That octopus, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that octopus] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That octopus] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
18,I will eat that quahaug.,"That quahaug, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that quahaug] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That quahaug] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
19,I will eat that mascarpone.,"That mascarpone, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that mascarpone] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That mascarpone] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
20,I will eat that bread.,"That bread, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that bread] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That bread] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
21,I will eat that lanset.,"That lanset, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that lanset] .,"['O', 'O', 'O', 'O', 'B-V', 'O', 'O']","That lanset , I [V: will] eat .",ARG1,O,False
22,I will eat that mcintosh.,"That mcintosh, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that mcintosh] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARGM-DIS: That mcintosh] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARGM-DIS,False
23,I will eat that frijole.,"That frijole, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that frijole] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That frijole] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
24,I will eat that bilberry.,"That bilberry, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that bilberry] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That bilberry] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
25,I will eat that morello.,"That morello, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that morello] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That morello] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
26,I will eat that cockle.,"That cockle, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that cockle] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That cockle] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
27,I will eat that ham.,"That ham, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that ham] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That ham] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
28,I will eat that earthnut.,"That earthnut, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that earthnut] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That earthnut] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
29,I will eat that asparagus.,"That asparagus, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that asparagus] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That asparagus] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
30,I will eat that cornbread.,"That cornbread, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that cornbread] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That cornbread] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
31,I will eat that roll.,"That roll, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that roll] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That roll] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
32,I will eat that butterbean.,"That butterbean, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that butterbean] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That butterbean] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
33,I will eat that delicious.,"That delicious, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that delicious] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That delicious] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
34,I will eat that rutabaga.,"That rutabaga, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that rutabaga] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That rutabaga] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
35,I will eat that saltine.,"That saltine, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that saltine] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That saltine] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
36,I will eat that roquefort.,"That roquefort, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that roquefort] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That roquefort] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
37,I will eat that fillet.,"That fillet, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that fillet] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That fillet] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
38,I will eat that scone.,"That scone, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that scone] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That scone] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
39,I will eat that farfalle.,"That farfalle, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that farfalle] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARGM-DIS: That farfalle] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARGM-DIS,False
40,I will eat that pretzel.,"That pretzel, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that pretzel] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That pretzel] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
41,I will eat that celtuce.,"That celtuce, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that celtuce] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That celtuce] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
42,I will eat that loaf.,"That loaf, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that loaf] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That loaf] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
43,I will eat that halal.,"That halal, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that halal] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That halal] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
44,I will eat that cake.,"That cake, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that cake] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That cake] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
45,I will eat that gammon.,"That gammon, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that gammon] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That gammon] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
46,I will eat that plumcot.,"That plumcot, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that plumcot] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That plumcot] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
47,I will eat that chopsteak.,"That chopsteak, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that chopsteak] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That chopsteak] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
48,I will eat that anchovy.,"That anchovy, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that anchovy] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That anchovy] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
49,I will eat that cherry.,"That cherry, I will eat.","['B-ARG0', 'B-ARGM-MOD', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: will] [V: eat] [ARG1: that cherry] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-V', 'O']","[ARG1: That cherry] , [ARG0: I] [ARGM-MOD: will] [V: eat] .",ARG1,ARG1,True
