,0,active,tags_act,descr_act,tags_pass,descr_pass,first_tag_act,final_min_one_pass,arg0_match
0,Judy is shot by Amy.,Amy shoots Judy.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Amy] [V: shoots] [ARG1: Judy] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Judy] is [V: shot] [ARG0: by Amy] .,ARG0,ARG0,True
1,Henry is shot by Dan.,Dan shoots Henry.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Dan] [V: shoots] [ARG1: Henry] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Henry] is [V: shot] [ARG0: by Dan] .,ARG0,ARG0,True
2,Scott is shot by Sophie.,Sophie shoots Scott.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Sophie] [V: shoots] [ARG1: Scott] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Scott] is [V: shot] [ARG0: by Sophie] .,ARG0,ARG0,True
3,Frank is shot by George.,George shoots Frank.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: George] [V: shoots] [ARG1: Frank] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Frank] is [V: shot] [ARG0: by George] .,ARG0,ARG0,True
4,Robert is shot by Charlie.,Charlie shoots Robert.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Charlie] [V: shoots] [ARG1: Robert] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Robert] is [V: shot] [ARG0: by Charlie] .,ARG0,ARG0,True
5,George is shot by Ashley.,Ashley shoots George.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Ashley] [V: shoots] [ARG1: George] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: George] is [V: shot] [ARG0: by Ashley] .,ARG0,ARG0,True
6,Jennifer is shot by Janet.,Janet shoots Jennifer.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Janet] [V: shoots] [ARG1: Jennifer] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jennifer] is [V: shot] [ARG0: by Janet] .,ARG0,ARG0,True
7,Mary is shot by Edward.,Edward shoots Mary.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Edward] [V: shoots] [ARG1: Mary] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Mary] is [V: shot] [ARG0: by Edward] .,ARG0,ARG0,True
8,Virginia is shot by Patricia.,Patricia shoots Virginia.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Patricia] [V: shoots] [ARG1: Virginia] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Virginia] is [V: shot] [ARG0: by Patricia] .,ARG0,ARG0,True
9,George is shot by Jay.,Jay shoots George.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jay] [V: shoots] [ARG1: George] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: George] is [V: shot] [ARG0: by Jay] .,ARG0,ARG0,True
10,Catherine is shot by Tom.,Tom shoots Catherine.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Tom] [V: shoots] [ARG1: Catherine] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Catherine] is [V: shot] [ARG0: by Tom] .,ARG0,ARG0,True
11,Jill is shot by Jason.,Jason shoots Jill.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jason] [V: shoots] [ARG1: Jill] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jill] is [V: shot] [ARG0: by Jason] .,ARG0,ARG0,True
12,Alice is shot by Leslie.,Leslie shoots Alice.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Leslie] [V: shoots] [ARG1: Alice] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Alice] is [V: shot] [ARG0: by Leslie] .,ARG0,ARG0,True
13,Mike is shot by Lynn.,Lynn shoots Mike.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Lynn] [V: shoots] [ARG1: Mike] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Mike] is [V: shot] [ARG0: by Lynn] .,ARG0,ARG0,True
14,Laura is shot by Alfred.,Alfred shoots Laura.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Laura] is [V: shot] [ARG0: by Alfred] .,[],ARG0,False
15,Dorothy is shot by Philip.,Philip shoots Dorothy.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Philip] [V: shoots] [ARG1: Dorothy] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Dorothy] is [V: shot] [ARG0: by Philip] .,ARG0,ARG0,True
16,Ruth is shot by Frances.,Frances shoots Ruth.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Frances] [V: shoots] [ARG1: Ruth] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Ruth] is [V: shot] [ARG0: by Frances] .,ARG0,ARG0,True
17,Alice is shot by Michelle.,Michelle shoots Alice.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Michelle] [V: shoots] [ARG1: Alice] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Alice] is [V: shot] [ARG0: by Michelle] .,ARG0,ARG0,True
18,Karen is shot by Samuel.,Samuel shoots Karen.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Samuel] [V: shoots] [ARG1: Karen] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Karen] is [V: shot] [ARG0: by Samuel] .,ARG0,ARG0,True
19,Carl is shot by Lauren.,Lauren shoots Carl.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Lauren] [V: shoots] [ARG1: Carl] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Carl] is [V: shot] [ARG0: by Lauren] .,ARG0,ARG0,True
20,Robin is shot by Alex.,Alex shoots Robin.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Alex] [V: shoots] [ARG1: Robin] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Robin] is [V: shot] [ARG0: by Alex] .,ARG0,ARG0,True
21,Scott is shot by James.,James shoots Scott.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: James] [V: shoots] [ARG1: Scott] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Scott] is [V: shot] [ARG0: by James] .,ARG0,ARG0,True
22,Kathy is shot by Adam.,Adam shoots Kathy.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Adam] [V: shoots] [ARG1: Kathy] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Kathy] is [V: shot] [ARG0: by Adam] .,ARG0,ARG0,True
23,Sara is shot by Sally.,Sally shoots Sara.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Sally] [V: shoots] [ARG1: Sara] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sara] is [V: shot] [ARG0: by Sally] .,ARG0,ARG0,True
24,Benjamin is shot by Howard.,Howard shoots Benjamin.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Howard] [V: shoots] [ARG1: Benjamin] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Benjamin] is [V: shot] [ARG0: by Howard] .,ARG0,ARG0,True
25,Eric is shot by Frank.,Frank shoots Eric.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Frank] [V: shoots] [ARG1: Eric] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Eric] is [V: shot] [ARG0: by Frank] .,ARG0,ARG0,True
26,Anthony is shot by Jonathan.,Jonathan shoots Anthony.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jonathan] [V: shoots] [ARG1: Anthony] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Anthony] is [V: shot] [ARG0: by Jonathan] .,ARG0,ARG0,True
27,George is shot by Suzanne.,Suzanne shoots George.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Suzanne] [V: shoots] [ARG1: George] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: George] is [V: shot] [ARG0: by Suzanne] .,ARG0,ARG0,True
28,Patrick is shot by Judy.,Judy shoots Patrick.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Judy] [V: shoots] [ARG1: Patrick] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Patrick] is [V: shot] [ARG0: by Judy] .,ARG0,ARG0,True
29,Frances is shot by Lucy.,Lucy shoots Frances.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Lucy] [V: shoots] [ARG1: Frances] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Frances] is [V: shot] [ARG0: by Lucy] .,ARG0,ARG0,True
30,Anna is shot by Jill.,Jill shoots Anna.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jill] [V: shoots] [ARG1: Anna] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Anna] is [V: shot] [ARG0: by Jill] .,ARG0,ARG0,True
31,Howard is shot by Brian.,Brian shoots Howard.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Brian] [V: shoots] [ARG1: Howard] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Howard] is [V: shot] [ARG0: by Brian] .,ARG0,ARG0,True
32,Kim is shot by Marilyn.,Marilyn shoots Kim.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Marilyn] [V: shoots] [ARG1: Kim] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Kim] is [V: shot] [ARG0: by Marilyn] .,ARG0,ARG0,True
33,Karen is shot by Jennifer.,Jennifer shoots Karen.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jennifer] [V: shoots] [ARG1: Karen] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Karen] is [V: shot] [ARG0: by Jennifer] .,ARG0,ARG0,True
34,William is shot by Lawrence.,Lawrence shoots William.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Lawrence] [V: shoots] [ARG1: William] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: William] is [V: shot] [ARG0: by Lawrence] .,ARG0,ARG0,True
35,Francis is shot by Jeff.,Jeff shoots Francis.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jeff] [V: shoots] [ARG1: Francis] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Francis] is [V: shot] [ARG0: by Jeff] .,ARG0,ARG0,True
36,Joan is shot by Brian.,Brian shoots Joan.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Joan] is [V: shot] [ARG0: by Brian] .,[],ARG0,False
37,Marilyn is shot by Bill.,Bill shoots Marilyn.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Bill] [V: shoots] [ARG1: Marilyn] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Marilyn] is [V: shot] [ARG0: by Bill] .,ARG0,ARG0,True
38,Grace is shot by Nick.,Nick shoots Grace.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Nick] [V: shoots] [ARG1: Grace] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Grace] is [V: shot] [ARG0: by Nick] .,ARG0,ARG0,True
39,Howard is shot by Julie.,Julie shoots Howard.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Julie] [V: shoots] [ARG1: Howard] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Howard] is [V: shot] [ARG0: by Julie] .,ARG0,ARG0,True
40,Richard is shot by Charles.,Charles shoots Richard.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Charles] [V: shoots] [ARG1: Richard] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Richard] is [V: shot] [ARG0: by Charles] .,ARG0,ARG0,True
41,Catherine is shot by Lucy.,Lucy shoots Catherine.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Lucy] [V: shoots] [ARG1: Catherine] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Catherine] is [V: shot] [ARG0: by Lucy] .,ARG0,ARG0,True
42,Jack is shot by Jeff.,Jeff shoots Jack.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jeff] [V: shoots] [ARG1: Jack] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jack] is [V: shot] [ARG0: by Jeff] .,ARG0,ARG0,True
43,Susan is shot by Ed.,Ed shoots Susan.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Ed] [V: shoots] [ARG1: Susan] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Susan] is [V: shot] [ARG0: by Ed] .,ARG0,ARG0,True
44,Laura is shot by Dick.,Dick shoots Laura.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Dick] [V: shoots] [ARG1: Laura] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Laura] is [V: shot] [ARG0: by Dick] .,ARG0,ARG0,True
45,Jessica is shot by Kim.,Kim shoots Jessica.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Kim] [V: shoots] [ARG1: Jessica] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jessica] is [V: shot] [ARG0: by Kim] .,ARG0,ARG0,True
46,Joe is shot by Dick.,Dick shoots Joe.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Dick] [V: shoots] [ARG1: Joe] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Joe] is [V: shot] [ARG0: by Dick] .,ARG0,ARG0,True
47,Sharon is shot by Ron.,Ron shoots Sharon.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sharon] is [V: shot] [ARG0: by Ron] .,[],ARG0,False
48,Frances is shot by Philip.,Philip shoots Frances.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Philip] [V: shoots] [ARG1: Frances] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Frances] is [V: shot] [ARG0: by Philip] .,ARG0,ARG0,True
